review,rating,date
,5/5,2 weeks ago on Google
,5/5,3 months ago on Google
,2/5,a month ago on Google
,5/5,3 weeks ago on Google
,5/5,2 months ago on Google
,5/5,3 weeks ago on Google
,5/5,a week ago on Google
,4/5,a month ago on Google
,4/5,3 months ago on Google
,1/5,3 weeks ago on Google
"Summary: Overpriced hotel with poor management, weak service, and not family-friendly. This property does not meet 5-star standards and delivers a 3-star experience at luxury prices. … Read more",1/5,a month ago on Google
"Great resort from the time you walk in. They have a lot of potential, they should work on the beach aspect and add more sand to potentially stretch it out and make it more enjoyable as opposed to pebbles and rocks. Also they should look … Read more",4/5,a month ago on Google
I really rely on reviews so I wanted to write one when we returned. This resort was absolutely gorgeous inside and out. The view on the beach was amazing and my family really enjoyed it. As others mentioned it was a bit rocky but it was … Read more,5/5,a month ago on Google
This hotel is incredible and the staff really are a dream. We brought our two young boys (2.5 and 8 months) to the hotel for a long weekend to celebrate a special occasion. It was our first time traveling long distance with them and the … Read more,5/5,4 months ago on Google
"2.5 stars*
So. It’s a nice enough resort BUT compared to how much you pay there? It doesn’t cut it. If your company is paying for you, sure this place is awesome. If … Read more",2/5,3 months ago on Google
"This place breakfast service sucks - at steak place, multiple people walking out due to no service with kids. Literally nobody except 1 person - this sucks. Rooms too did not have shampoo, coffee(has to be mistake - we asked for … Read more",1/5,2 months ago on Google
"Our stay at this hotel was absolutely wonderful! From the moment we arrived, we were impressed by how elegant and well-maintained everything was. The entire property is beautifully cared for — lush greenery, clean pathways, and a relaxing, … Read more",5/5,Edited 3 months ago on Google
"Ultimately, this felt like a budget hotel trying to present itself as a resort. It is definitely not what I would expect from a Hyatt Category 5 property, let alone a luxury hotel. … Read more",1/5,2 months ago on Google
"Laura checked is in in Wednesday and was amazing. She welcomed us and gave us all the information we needed as it was our first time staying at the resort. The resort grounds are well kept and the staff was very friendly. The rooms are nice, clean and big.",5/5,2 weeks ago on Google
"The hotel is very clean and well maintained. The entire staff is very friendly and welcoming. The rooms are kept clean. The pools are also very well maintained, there's a play area for toddlers and face painting available at random times. … Read more",5/5,3 months ago on Google
